Name,Title,Project Number,Original,Revision,Original Summary Statements,Resub Summary Statements,Original Project Narrative,Original Project Summary (Abstract),Original References,Original Personnel,Original Facilities/ Other Resources,Original Equipment,Original Biosketch,Original Collabor-ator Biosketch,Original Budget,Original Budget Justification,Original Letter(s) of Support,Original Environment,Original Specific Aims,Original Research Strategy,Original Human Subjects,Original Women/ Minorities,Original Children,Original Planned Enrollment,Original Vertebrate Animals,Original Resource Sharing Plan,Original Multi-PI Leadership Plan,Original Consortium and Contract,Original R61 Go/No-Go and R33 Spec. Aims,Introduction,Resub Project Summary,Resub References,Resub Personnel,Resub Facilities/ Other Resources,Resub Equipment,Resub Biosketch,Resub Collabor-ator Biosketch,Resub Budget,Resub Budget Justification,Resub Letter of Support,Resub Environment,Resub Specific Aims,Resub Research Strategy,Resub Human Subjects,Resub Women/ Minorities,Resub Children,Resub Planned Enrollment,Resub Vertebrate Animals,Resub Resource Sharing Plan,,,,,,,,,,
"Andl, T",The role of microRNA miR-31 in skin biology,1R01AR061474-01,Y,,Y,,,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer, K",Cognitive-Behavioral Based Physical Therapy: Improving Surgical Spine Outcomes,1R21AR062880-01,Y,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aune, TM",IFN-Gamma Gene Regulation in T Cells and NK Cells,2R01AI044924-09A1,Y,Y,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
"Aune, TM",LncRNAs Tether Transcription Facotrs to Enable Locus-specific Regulation and Sustain Memory T cell Phenotype,1R21AI239392-01A1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,,Y,,,,Y,Y,Y,Y,Y,y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,
"Austin, ED",Estrogen signaling and energy metabolism in pulmonary arterial hypertension,1R01HL134802-01A1,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
"Barkin, S",Adaptation of A Prevention-Treatment (ADAPT) Program: Reducing Cancer Risk for Families with Young Children,1R21CA197344-01,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barth, EJ",Curing Epilepsy with a Needle,1R21NS091735-01,Y,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastarache J,Free Hemoglobin Potentiates Pulmonary Vascular Dysfunction in Acute Lung Injury,1R21HL117676-01,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biaggioni, I",Splanchnic Circulation and Blood Pressure Regulation,1R01HL122847-01A1,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,
"Billings, FT","Hyper-oxygenation, oxidative stress, and kidney injury following cardiac surgery",1R01GM112871-01,Y,,Y,,,,Y,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
